lstat,ID,chas,rad,ptratio,black,tax,pool,cat_dis,crim,cat_age,medv,zn,nox,rm,indus,palux,garb
4.98,1,0,1,15.3,396.9,296,,Lejos,0.00632,Casi nueva,24.0,18.0,0.538,6.575,2.31,-4.898979485566356,0.3745401188473625
9.14,2,0,2,17.8,396.9,242,,Lejos,0.02731,Antigua,21.6,0.0,0.469,6.421,7.07,-4.6475800154489,0.9507143064099162
2.94,4,0,3,18.7,394.63,222,,Muy lejos,0.03237,Casi nueva,33.4,0.0,0.458,6.998,2.18,-5.779273310719955,0.7319939418114051
5.33,5,0,3,18.7,396.9,222,,Muy lejos,0.06905,Casi nueva,36.2,0.0,0.458,7.147,2.18,-6.016643582596529,0.5986584841970366
12.43,7,0,5,15.2,395.6,311,,Muy lejos,0.08829,Casi nueva,22.9,12.5,0.524,6.012,7.87,-4.78539444560216,0.15601864044243652
20.45,11,0,5,15.2,392.52,311,,Muy lejos,0.22489,Muy antigua,15.0,12.5,0.524,6.377,7.87,-3.872983346207417,0.15599452033620265
13.27,12,0,5,15.2,396.9,311,,Muy lejos,0.11747,Antigua,18.9,12.5,0.524,6.009,7.87,-4.347413023856832,0.05808361216819946
15.71,13,0,5,15.2,390.5,311,,Muy lejos,0.09378,Nueva,21.7,12.5,0.524,5.889,7.87,-4.658325879540846,0.8661761457749352
8.26,14,0,4,21.0,396.9,307,,Lejos,0.62976,Casi nueva,20.4,0.0,0.538,5.949,8.14,-4.516635916254486,0.6011150117432088
10.26,15,0,4,21.0,380.02,307,,Lejos,0.63796,Antigua,18.2,0.0,0.538,6.096,8.14,-4.266145801540309,0.7080725777960455
8.47,16,0,4,21.0,395.62,307,,Lejos,0.62739,Casi nueva,19.9,0.0,0.538,5.834,8.14,-4.460941604639093,0.020584494295802447
6.58,17,0,4,21.0,386.85,307,,,1.05393,Nueva,23.1,0.0,0.538,5.935,8.14,-4.806245936279167,0.9699098521619943
11.69,19,0,4,21.0,288.99,307,,Lejos,0.80271,Nueva,20.2,0.0,0.538,5.456,8.14,-4.494441010848846,0.8324426408004217
21.02,21,0,4,21.0,376.57,307,,,1.25179,Muy antigua,13.6,0.0,0.538,5.57,8.14,-3.687817782917155,0.21233911067827616
13.83,22,0,4,21.0,392.53,307,,Lejos,0.85204,Antigua,19.6,0.0,0.538,5.965,8.14,-4.427188724235731,0.18182496720710062
18.72,23,0,4,21.0,396.9,307,,Lejos,1.23247,Antigua,15.2,0.0,0.538,6.142,8.14,-3.8987177379235853,0.18340450985343382
19.88,24,0,4,21.0,394.54,307,,Lejos,0.98843,Muy antigua,14.5,0.0,0.538,5.813,8.14,-3.8078865529319543,0.3042422429595377
17.28,28,0,4,21.0,306.38,307,,Lejos,0.95577,Antigua,14.8,0.0,0.538,6.047,8.14,-3.847076812334269,0.5247564316322378
22.6,31,0,4,21.0,360.17,307,,Lejos,1.13081,Muy antigua,12.7,0.0,0.538,5.713,8.14,-3.5637059362410923,0.43194501864211576
13.04,32,0,4,21.0,376.73,307,,Lejos,1.35472,Muy antigua,14.5,0.0,0.538,6.072,8.14,-3.8078865529319543,0.2912291401980419
20.34,35,0,4,21.0,248.31,307,,Lejos,1.61282,Muy antigua,13.5,0.0,0.538,6.096,8.14,-3.6742346141747673,0.6118528947223795
10.13,39,0,5,19.2,393.43,279,,Lejos,0.17505,Nueva,24.7,0.0,0.499,5.966,5.96,-4.969909455915671,0.13949386065204183
4.32,40,0,3,18.3,395.63,252,,Muy lejos,0.02763,Nueva,30.8,75.0,0.428,6.595,2.95,-5.549774770204643,0.29214464853521815
1.98,41,0,3,18.3,395.62,252,,Muy lejos,0.03359,Nueva,34.9,75.0,0.428,7.024,2.95,-5.9076221950967716,0.3663618432936917
5.81,43,0,3,17.9,383.37,233,,Muy lejos,0.1415,Nueva,25.3,0.0,0.448,6.169,6.91,-5.029910535983717,0.45606998421703593
7.44,44,0,3,17.9,394.46,233,,Muy lejos,0.15936,Nueva,24.7,0.0,0.448,6.211,6.91,-4.969909455915671,0.7851759613930136
9.55,45,0,3,17.9,389.39,233,,Muy lejos,0.12269,Nueva,21.2,0.0,0.448,6.069,6.91,-4.604345773288535,0.19967378215835974
10.21,46,0,3,17.9,396.9,233,,,0.17142,Nueva,19.3,0.0,0.448,5.682,,-4.39317652729776,0.5142344384136116
14.15,47,0,3,17.9,396.9,233,,Lejos,0.18836,Nueva,20.0,0.0,0.448,5.786,6.91,-4.47213595499958,0.5924145688620425
18.8,48,0,3,17.9,392.74,233,,Muy lejos,0.22927,Antigua,16.6,0.0,0.448,6.03,6.91,-4.0743097574926725,0.046450412719997725
16.2,50,0,3,17.9,396.9,233,,Muy lejos,0.21977,Casi nueva,19.4,0.0,0.448,5.602,6.91,-4.404543109109048,0.6075448519014384
13.45,51,0,4,16.8,395.56,243,,Muy lejos,0.08873,Casi nueva,19.7,21.0,0.439,5.963,5.64,-4.43846820423443,0.17052412368729153
9.43,52,0,4,16.8,393.97,243,,Muy lejos,0.04337,Casi nueva,20.5,21.0,0.439,6.115,5.64,-4.527692569068709,0.06505159298527952
8.43,54,0,4,16.8,396.9,243,,Muy lejos,0.04981,Nueva,23.4,21.0,0.439,5.998,5.64,-4.8373546489791295,0.9488855372533332
14.8,55,0,3,21.1,396.9,469,,Muy lejos,0.0136,Casi nueva,18.9,75.0,0.41,5.888,4.0,-4.347413023856832,0.9656320330745594
4.81,56,0,5,17.9,395.93,226,,Muy lejos,,Nueva,35.4,90.0,0.403,7.249,1.22,-5.9497899122574065,0.8083973481164611
5.77,57,0,2,17.3,396.9,313,,Muy lejos,0.02055,Nueva,24.7,85.0,0.41,6.383,0.74,-4.969909455915671,0.3046137691733707
3.95,58,0,5,15.1,392.9,256,,,0.01432,Nueva,31.6,100.0,0.411,6.816,1.32,-5.621387729022079,0.09767211400638387
6.86,59,0,8,19.7,390.68,284,,Muy lejos,0.15445,Nueva,23.3,25.0,0.453,6.145,5.13,-4.8270073544588685,0.6842330265121569
13.15,61,0,8,19.7,395.11,284,,Muy lejos,0.14932,Casi nueva,18.7,25.0,0.453,5.741,5.13,-4.324349662087931,0.4401524937396013
14.44,62,0,8,19.7,378.08,284,,,0.17171,Antigua,16.0,25.0,0.453,5.966,5.13,-4.0,0.12203823484477883
9.5,64,0,8,19.7,395.58,284,,Muy lejos,0.1265,Nueva,25.0,25.0,0.453,6.762,5.13,-5.0,0.4951769101112702
8.05,65,0,3,18.6,393.24,216,,Muy lejos,0.01951,Casi nueva,33.0,17.5,0.4161,7.104,1.38,-5.744562646538029,0.034388521115218396
4.67,66,0,4,16.1,396.9,337,,Muy lejos,0.03584,Nueva,23.5,80.0,0.398,6.29,3.37,-4.847679857416329,0.9093204020787821
10.24,67,0,4,16.1,396.9,337,,Muy lejos,0.04379,Nueva,19.4,80.0,0.398,5.787,3.37,-4.404543109109048,0.2587799816000169
8.1,68,0,4,18.9,396.21,345,,Muy lejos,0.05789,Nueva,22.0,12.5,0.409,5.878,6.07,-4.69041575982343,0.662522284353982
13.09,69,0,4,18.9,396.9,345,,Muy lejos,0.13554,Nueva,17.4,12.5,0.409,5.594,6.07,-4.171330722922842,0.31171107608941095
6.72,71,0,4,19.2,383.73,305,,,0.08826,Nueva,24.2,0.0,0.413,6.417,10.81,-4.919349550499537,0.5200680211778108
5.52,73,0,4,19.2,390.91,305,,Muy lejos,0.09164,Nueva,22.8,0.0,0.413,6.065,10.81,-4.774934554525329,0.5467102793432796
7.54,74,0,4,19.2,377.17,305,,Muy lejos,0.19539,Nueva,23.4,0.0,0.413,6.245,10.81,-4.8373546489791295,0.18485445552552704
6.78,75,0,5,18.7,394.92,398,,Lejos,0.07896,Nueva,24.1,0.0,0.437,6.273,12.83,-4.909175083453431,0.9695846277645586
8.94,76,0,5,18.7,383.23,398,,,0.09512,Nueva,21.4,0.0,0.437,6.286,12.83,-4.626013402488151,0.7751328233611146
11.97,77,0,5,18.7,373.66,398,,Lejos,0.10153,Casi nueva,20.0,0.0,0.437,6.279,12.83,-4.47213595499958,0.9394989415641891
10.27,78,0,5,18.7,386.96,398,,Lejos,,Casi nueva,20.8,0.0,0.437,6.14,12.83,-4.560701700396552,0.8948273504276488
5.29,81,0,4,19.0,396.9,281,,Muy lejos,0.04113,Nueva,28.0,25.0,0.426,6.727,4.86,-5.291502622129181,0.5978999788110851
7.22,82,0,4,19.0,395.63,281,,Muy lejos,0.04462,Casi nueva,23.9,25.0,0.426,6.619,4.86,-4.888762624632126,0.9218742350231168
7.51,84,0,4,19.0,390.64,281,,Muy lejos,0.03551,Casi nueva,22.9,25.0,0.426,6.167,,-4.78539444560216,0.0884925020519195
9.62,85,0,3,18.5,396.9,247,,Lejos,0.05059,Casi nueva,23.9,0.0,0.449,6.389,4.49,-4.888762624632126,0.1959828624191452
6.53,86,0,3,18.5,392.3,247,,Lejos,0.05735,Casi nueva,26.6,0.0,0.449,6.63,4.49,-5.157518783291051,0.045227288910538066
12.86,87,0,3,18.5,395.99,247,,Lejos,0.05188,Nueva,22.5,0.0,0.449,6.015,4.49,-4.743416490252569,0.32533033076326434
8.44,88,0,3,18.5,395.15,247,,Lejos,0.07151,Casi nueva,22.2,0.0,0.449,6.121,4.49,-4.711687595755898,0.388677289689482
5.5,89,0,2,17.8,396.9,270,,Lejos,,Antigua,23.6,0.0,0.489,7.007,3.41,-4.857983120596447,0.2713490317738959
5.7,90,0,2,17.8,396.06,270,,Lejos,0.05302,Casi nueva,28.7,0.0,0.489,7.079,3.41,-5.357238094391549,0.8287375091519293
8.81,91,0,2,17.8,392.18,270,,Cerca,0.04684,Casi nueva,22.6,0.0,0.489,6.417,3.41,-4.753945729601885,0.3567533266935893
6.21,94,0,4,18.2,396.33,270,,,0.02875,Nueva,25.0,28.0,0.464,6.211,15.04,-5.0,0.28093450968738076
10.59,95,0,4,18.2,396.9,270,,Lejos,0.04294,Antigua,20.6,28.0,0.464,6.249,15.04,-4.538722287164087,0.5426960831582485
11.34,97,0,2,18.0,391.83,276,,Lejos,0.11504,Casi nueva,21.4,0.0,0.445,6.163,2.89,-4.626013402488151,0.14092422497476265
9.42,101,0,5,20.9,394.76,384,,Cerca,0.14866,Antigua,27.5,0.0,0.52,6.727,8.56,-5.244044240850758,0.8021969807540397
7.67,102,0,5,20.9,395.58,384,,Cerca,0.11432,Casi nueva,26.5,0.0,0.52,6.781,8.56,-5.1478150704935,0.07455064367977082
10.63,103,0,5,20.9,70.8,384,,Cerca,0.22876,Antigua,18.6,0.0,0.52,6.405,8.56,-4.312771730569565,0.9868869366005173
13.44,104,0,5,20.9,394.47,384,,Cerca,,Antigua,19.3,0.0,0.52,6.137,8.56,-4.39317652729776,0.7722447692966574
18.66,107,0,5,20.9,395.67,384,,Cerca,0.1712,Antigua,19.5,0.0,0.52,5.836,8.56,-4.415880433163924,0.1987156815341724
14.09,108,0,5,20.9,387.69,384,,Muy cerca,0.13117,Antigua,20.4,0.0,0.52,6.127,8.56,-4.516635916254486,0.005522117123602399
12.27,109,0,5,20.9,395.24,384,,Cerca,0.12802,Muy antigua,19.8,0.0,0.52,6.474,8.56,-4.449719092257398,0.8154614284548342
15.55,110,0,5,20.9,391.23,384,,,0.26363,Antigua,19.4,0.0,0.52,6.229,8.56,-4.404543109109048,0.7068573438476171
10.16,112,0,6,17.8,395.59,432,,Cerca,0.10084,Antigua,22.8,0.0,0.547,6.715,10.01,-4.774934554525329,0.7290071680409873
10.45,115,0,6,17.8,388.74,432,,Cerca,0.14231,Antigua,18.5,0.0,0.547,6.254,10.01,-4.301162633521313,0.7712703466859457
12.04,117,0,6,17.8,393.3,432,,Cerca,0.13158,Casi nueva,21.2,0.0,0.547,6.176,10.01,-4.604345773288535,0.07404465173409036
10.3,118,0,6,17.8,394.51,432,,Cerca,0.15098,Antigua,19.2,0.0,0.547,6.021,10.01,-4.381780460041329,0.3584657285442726
15.37,119,0,6,17.8,338.63,432,,Cerca,0.13058,Casi nueva,20.4,0.0,0.547,5.872,10.01,-4.516635916254486,0.11586905952512971
13.61,120,0,6,17.8,391.5,432,,Cerca,0.14476,Casi nueva,19.3,0.0,0.547,5.731,10.01,-4.39317652729776,0.8631034258755935
14.37,121,0,2,19.1,389.15,188,,Cerca,0.06899,Casi nueva,22.0,0.0,0.581,5.87,25.65,-4.69041575982343,0.6232981268275579
14.27,122,0,2,19.1,377.67,188,,Cerca,0.07165,Antigua,20.3,0.0,0.581,6.004,25.65,-4.505552130427524,0.3308980248526492
17.93,123,0,2,19.1,378.09,188,,Muy cerca,0.09299,Antigua,20.5,0.0,0.581,5.961,25.65,-4.527692569068709,0.06355835028602363
25.41,124,0,2,19.1,370.31,188,,Muy cerca,0.15038,Muy antigua,17.3,0.0,0.581,5.856,25.65,-4.159326868617084,0.3109823217156622
17.58,125,0,2,19.1,379.38,188,,Muy cerca,0.09849,Muy antigua,18.8,0.0,0.581,5.879,25.65,-4.33589667773576,0.32518332202674705
27.26,127,0,2,19.1,359.29,188,,Muy cerca,0.38735,Muy antigua,15.7,0.0,0.581,5.613,25.65,-3.96232255123179,0.7296061783380641
17.19,128,0,4,21.2,392.11,437,,,0.25915,Muy antigua,16.2,0.0,0.624,5.693,21.89,-4.024922359499621,0.6375574713552131
15.39,129,0,4,21.2,396.9,437,,Muy cerca,0.32543,Muy antigua,18.0,0.0,0.624,6.431,21.89,-4.242640687119285,0.8872127425763265
12.26,132,0,4,21.2,396.9,437,,Cerca,1.19294,Muy antigua,19.6,0.0,0.624,6.326,21.89,-4.427188724235731,0.4722149251619493
15.03,134,0,4,21.2,388.69,437,,Cerca,0.32982,Muy antigua,18.4,0.0,0.624,5.822,21.89,-4.2895221179054435,0.1195942459383017
17.31,135,0,4,21.2,262.76,437,,Cerca,0.97617,Muy antigua,15.6,0.0,0.624,5.757,21.89,-3.9496835316262997,0.713244787222995
16.9,137,0,4,21.2,378.25,437,,Muy cerca,0.32264,Antigua,17.4,0.0,0.624,5.942,,-4.171330722922842,0.7607850486168974
14.59,138,0,4,21.2,394.08,437,,Muy cerca,0.35233,Muy antigua,17.1,0.0,0.624,6.454,21.89,-4.135214625627067,0.5612771975694962
21.32,139,0,4,21.2,392.04,437,,Muy cerca,0.2498,Muy antigua,13.3,0.0,0.624,5.857,21.89,-3.646916505762094,0.770967179954561
18.46,140,0,4,21.2,396.9,437,,Muy cerca,,Muy antigua,17.8,0.0,0.624,6.151,21.89,-4.219004621945797,0.49379559636439074
34.41,142,0,4,21.2,396.9,437,,Muy cerca,1.62864,Muy antigua,14.4,0.0,0.624,5.019,21.89,-3.794733192202055,0.5227328293819941
26.82,143,1,5,14.7,396.9,403,,,3.32105,Muy antigua,13.4,0.0,0.871,5.403,19.58,-3.6606010435446255,0.42754101835854963
27.8,146,0,5,14.7,172.91,403,,Muy cerca,,Muy antigua,13.8,0.0,0.871,6.13,19.58,-3.714835124201342,0.02541912674409519
29.53,148,0,5,14.7,391.71,403,,,2.36862,Muy antigua,14.6,0.0,0.871,4.926,19.58,-3.82099463490856,0.10789142699330445
28.32,149,0,5,14.7,356.99,403,,Muy cerca,2.33099,Antigua,17.8,0.0,0.871,5.186,19.58,-4.219004621945797,0.03142918568673425
21.45,150,0,5,14.7,351.85,403,,Muy cerca,2.73397,Muy antigua,15.4,0.0,0.871,5.597,19.58,-3.924283374069717,0.6364104112637804
14.1,151,0,5,14.7,372.8,403,,Muy cerca,1.6566,Muy antigua,21.5,0.0,0.871,6.122,19.58,-4.636809247747852,0.3143559810763267
15.79,154,0,5,14.7,261.95,403,,Muy cerca,2.14918,Muy antigua,19.4,0.0,0.871,5.709,19.58,-4.404543109109048,0.5085706911647028
15.12,155,1,5,14.7,321.02,403,,Muy cerca,1.41385,Muy antigua,17.0,0.0,0.871,6.129,19.58,-4.123105625617661,0.907566473926093
16.14,157,0,5,14.7,88.63,403,,Muy cerca,2.44668,Muy antigua,13.1,0.0,0.871,5.272,19.58,-3.6193922141707713,0.24929222914887494
6.43,159,0,5,14.7,353.89,403,,Muy cerca,1.34284,Muy antigua,24.3,0.0,0.605,6.066,19.58,-4.929503017546495,0.41038292303562973
7.39,160,0,5,14.7,364.31,403,,Muy cerca,1.42502,Muy antigua,23.3,0.0,0.871,6.51,19.58,-4.8270073544588685,0.7555511385430487
5.5,161,1,5,14.7,338.92,403,,Muy cerca,1.27346,Antigua,27.0,0.0,0.605,6.25,19.58,-5.196152422706632,0.22879816549162246
1.73,162,0,5,14.7,374.43,403,,Muy cerca,1.46336,Antigua,50.0,0.0,0.605,7.489,19.58,-7.0710678118654755,0.07697990982879299
3.32,164,1,5,14.7,388.45,403,,Cerca,1.51902,Muy antigua,50.0,0.0,0.605,8.375,19.58,-7.0710678118654755,0.289751452913768
11.64,165,0,5,14.7,395.11,403,,Cerca,2.24236,Antigua,22.7,0.0,0.605,5.854,19.58,-4.764451699828638,0.16122128725400442
9.81,166,0,5,14.7,240.16,403,,Cerca,2.924,Antigua,25.0,0.0,0.605,6.101,19.58,-5.0,0.9296976523425731
3.7,167,0,5,14.7,369.3,403,,Muy cerca,2.01019,Muy antigua,50.0,0.0,0.605,7.929,19.58,-7.0710678118654755,0.808120379564417
12.14,168,0,5,14.7,227.61,403,,Cerca,1.80028,Antigua,23.8,0.0,0.605,5.877,19.58,-4.878524367060187,0.6334037565104235
11.32,170,0,5,14.7,330.04,403,,Cerca,2.44953,Muy antigua,22.3,0.0,0.605,6.402,19.58,-4.722287581247038,0.8714605901877177
14.43,171,0,5,14.7,292.29,403,,Cerca,1.20742,Muy antigua,17.4,0.0,0.605,5.875,19.58,-4.171330722922842,0.8036720768991145
12.03,172,0,5,14.7,348.13,403,,Cerca,2.3139,Muy antigua,19.1,0.0,0.605,5.88,19.58,-4.370354676682432,0.18657005888603584
14.69,173,0,5,16.6,396.9,296,,Cerca,0.13914,Antigua,23.1,0.0,0.51,5.572,4.05,-4.806245936279167,0.8925589984899778
9.04,174,0,5,16.6,395.5,296,,Cerca,0.09178,Antigua,23.6,0.0,0.51,6.416,4.05,-4.857983120596447,0.5393422419156507
9.64,175,0,5,16.6,393.23,296,,Cerca,0.08447,Casi nueva,22.6,0.0,0.51,5.859,4.05,-4.753945729601885,0.8074401551640625
5.33,176,0,5,16.6,390.96,296,,,0.06664,Nueva,29.4,0.0,0.51,6.546,4.05,-5.422176684690384,0.8960912999234932
10.11,177,0,5,16.6,393.23,296,,Lejos,0.07022,Casi nueva,23.2,0.0,0.51,6.02,4.05,-4.8166378315169185,0.3180034749718639
6.29,178,0,5,16.6,395.6,296,,Lejos,0.05425,Casi nueva,24.6,0.0,0.51,6.315,4.05,-4.959838707054898,0.11005192452767676
6.92,179,0,5,16.6,391.27,296,,Cerca,0.06642,Casi nueva,29.9,0.0,0.51,6.86,4.05,-5.468089245796926,0.22793516254194168
5.04,180,0,3,17.8,396.9,193,,Cerca,0.0578,Casi nueva,37.2,0.0,0.488,6.98,2.46,-6.099180272790763,0.4271077886262563
7.56,181,0,3,17.8,395.56,193,,Cerca,0.06588,Antigua,39.8,0.0,0.488,7.765,2.46,-6.308724118235001,0.8180147659224931
9.45,182,0,3,17.8,396.9,193,,,0.06888,Casi nueva,36.2,0.0,0.488,6.144,2.46,-6.016643582596529,0.8607305832563434
4.82,183,0,3,17.8,394.12,193,,Cerca,0.09103,Antigua,37.9,0.0,0.488,7.155,2.46,-6.156297588648554,0.006952130531190703
5.68,184,0,3,17.8,396.9,193,,Cerca,0.10008,Muy antigua,32.5,0.0,0.488,6.563,2.46,-5.70087712549569,0.5107473025775657
4.45,187,0,3,17.8,392.63,193,,Lejos,0.05602,Casi nueva,50.0,0.0,0.488,7.831,2.46,-7.0710678118654755,0.417411003148779
6.68,188,0,5,15.2,393.87,398,,Lejos,0.07875,Nueva,32.0,45.0,0.437,6.782,3.44,-5.656854249492381,0.22210781047073025
5.39,190,0,5,15.2,396.9,398,,Lejos,0.0837,Nueva,34.9,45.0,0.437,7.185,3.44,-5.9076221950967716,0.1198653673336828
5.1,191,0,5,15.2,377.68,398,,,0.09068,Nueva,37.0,45.0,0.437,6.951,3.44,-6.082762530298219,0.33761517140362796
4.69,192,0,5,15.2,389.71,398,,Muy lejos,0.06911,Nueva,30.5,45.0,0.437,6.739,3.44,-5.522680508593631,0.9429097039125192
2.87,193,0,5,15.2,390.49,398,,Muy lejos,0.08664,Nueva,36.4,45.0,0.437,7.178,3.44,-6.0332412515993425,0.32320293202075523
5.03,194,0,1,15.6,393.37,265,,Muy lejos,0.02187,Nueva,31.1,60.0,0.401,6.8,2.93,-5.576737397439475,0.5187906217433661
4.38,195,0,1,15.6,376.7,265,,Muy lejos,0.01439,Nueva,29.1,60.0,0.401,6.604,2.93,-5.394441583704471,0.7030189588951778
8.61,198,0,2,12.6,354.31,329,,Muy lejos,0.04666,Nueva,30.3,80.0,0.404,7.107,1.52,-5.504543577809154,0.363629602379294
4.45,201,0,3,17.0,384.3,402,,Muy lejos,0.01778,Nueva,32.9,95.0,0.403,7.135,1.47,-5.735852159879995,0.9717820827209607
7.43,202,0,2,14.7,393.77,348,,Muy lejos,0.03445,Nueva,24.1,82.5,0.415,6.162,2.03,-4.909175083453431,0.9624472949421112
3.81,204,0,4,14.7,392.78,224,,Muy lejos,0.0351,Nueva,48.5,95.0,0.4161,7.853,2.68,-6.96419413859206,0.25178229582536416
2.88,205,0,4,14.7,390.55,224,,Muy lejos,0.02009,Nueva,50.0,95.0,0.4161,8.034,,-7.0710678118654755,0.49724850589238545
10.87,206,0,4,18.6,396.9,277,,,0.13642,Nueva,22.6,0.0,0.489,5.891,10.59,-4.753945729601885,0.30087830981676966
10.97,207,0,4,18.6,394.87,277,,Lejos,0.22969,Casi nueva,24.4,0.0,0.489,6.326,10.59,-4.9396356140913875,0.2848404943774676
14.66,209,1,4,18.6,381.32,277,,Lejos,,Casi nueva,24.4,0.0,0.489,6.064,,-4.9396356140913875,0.036886947354532795
23.98,212,1,4,18.6,395.24,277,,Lejos,0.37578,Antigua,19.3,0.0,0.489,5.404,10.59,-4.39317652729776,0.6095643339798968
9.38,214,0,4,18.6,385.81,277,,Lejos,0.14052,Nueva,28.1,0.0,0.489,6.375,10.59,-5.300943312279429,0.5026790232288615
29.55,215,0,4,18.6,348.93,277,,Lejos,,Nueva,23.7,0.0,0.489,5.412,10.59,-4.868264577855234,0.05147875124998935
13.51,217,1,5,16.4,392.8,276,,Lejos,0.0456,Casi nueva,23.3,0.0,0.55,5.888,,-4.8270073544588685,0.27864646423661144
21.46,222,1,8,17.4,395.24,307,,Cerca,,Antigua,21.7,0.0,0.507,6.164,6.2,-4.658325879540846,0.9082658859666537
9.93,223,1,8,17.4,390.39,307,,Lejos,,Antigua,27.5,0.0,0.507,6.879,6.2,-5.244044240850758,0.23956189066697242
7.6,224,0,8,17.4,396.9,307,,Lejos,0.6147,Antigua,30.1,0.0,0.507,6.618,6.2,-5.486346689738081,0.1448948720912231
4.14,225,0,8,17.4,385.05,307,,Cerca,0.31533,Antigua,44.8,0.0,0.504,8.266,6.2,-6.6932802122726045,0.489452760277563
4.63,226,0,8,17.4,382.0,307,,Cerca,0.52693,Antigua,50.0,0.0,0.504,8.725,6.2,-7.0710678118654755,0.9856504541106007
3.13,227,0,8,17.4,387.38,307,,Lejos,0.38214,Antigua,37.6,0.0,0.504,8.04,6.2,-6.131883886702357,0.2420552715115004
6.36,228,0,8,17.4,372.08,307,,Lejos,0.41238,Antigua,31.6,0.0,0.504,7.163,6.2,-5.621387729022079,0.6721355474058786
3.76,230,0,8,17.4,380.34,307,,Lejos,0.44178,Nueva,31.5,0.0,0.504,6.552,6.2,-5.612486080160912,0.7616196153287176
11.65,231,0,8,17.4,378.35,307,,Lejos,0.537,Casi nueva,24.3,0.0,0.504,5.981,6.2,-4.929503017546495,0.23763754399239967
2.47,233,0,8,17.4,385.91,307,,Lejos,0.57529,Casi nueva,41.7,0.0,0.507,8.337,6.2,-6.457553716385176,0.7282163486118596
3.95,234,0,8,17.4,378.95,307,,Lejos,0.33147,Casi nueva,48.3,0.0,0.507,8.247,6.2,-6.9498201415576215,0.3677831327192532
8.05,235,1,8,17.4,360.2,307,,Lejos,0.44791,Casi nueva,29.0,0.0,0.507,6.726,6.2,-5.385164807134504,0.6323058305935795
10.88,236,0,8,17.4,376.75,307,,,0.33045,Casi nueva,24.0,0.0,0.507,6.086,6.2,-4.898979485566356,0.6335297107608947
9.54,237,1,8,17.4,388.45,307,,Lejos,0.52058,Casi nueva,25.1,0.0,0.507,6.631,6.2,-5.0099900199501395,0.5357746840747585
11.38,241,0,6,16.6,391.25,300,,Muy lejos,0.11329,Casi nueva,22.0,30.0,0.428,6.897,4.93,-4.69041575982343,0.0902897700544083
11.22,243,0,6,16.6,372.75,300,,Muy lejos,0.1029,Casi nueva,22.2,30.0,0.428,6.358,4.93,-4.711687595755898,0.835302495589238
